# DeepSeek Harness + V4 Pro 大规模内容更新词表（2026-08-16 造词法产出）
# 主词来源：Google Trends 热词 + 8/13 发布窗口搜索热词；长尾 = 后缀组装法（× what-is/release/install/plugin/vs/config/api...）
# 数据源定案：新发布窗口（0-4 周）用搜索热词/Trends（Semrush 对新发布无效）
# 状态说明：status=collected（已收集）；word 与现有 20 页 slug 冲突的标 update（更新现有页，不算新增）
word,zh,intent,page_type,game,status,source,note
"deepseek harness","深度求索 Harness 智能体框架",informational,guide,deepseek,update,official,"现有页更新：8/13 已发布 v0.1（MIT 开源，Cordis 插件系统）"
"deepseek harness release date","DeepSeek Harness 发布日期",informational,guide,deepseek,collected,search,"8/13/2026 developer preview 发布"
"what is deepseek harness","DeepSeek Harness 是什么",informational,guide,deepseek,collected,search,"一页一词主词"
"deepseek harness install","DeepSeek Harness 安装教程",tutorial,guide,deepseek,collected,search,"npx @deepseek-ai/dsh web"
"deepseek harness setup","DeepSeek Harness 配置教程",tutorial,guide,deepseek,collected,search,"configuration 组合插件"
"deepseek harness vs claude code","DeepSeek Harness 对比 Claude Code",comparison,guide,deepseek,collected,search,"对标 Claude Code，一切皆插件"
"deepseek harness vs opencode","DeepSeek Harness 对比 OpenCode",comparison,guide,deepseek,collected,search,"对比开源编码 agent"
"deepseek harness plugins","DeepSeek Harness 插件生态",informational,guide,deepseek,collected,search,"dsh-plugin 社区插件"
"deepseek harness mcp","DeepSeek Harness MCP 支持",tutorial,guide,deepseek,collected,search,"MCP 插件接入"
"deepseek harness github","DeepSeek Harness GitHub 仓库",informational,guide,deepseek,collected,search,"deepseek-ai/deepseek-harness，95K stars"
"deepseek harness cursor","在 Cursor 中使用 DeepSeek Harness",tutorial,guide,deepseek,collected,search,"IDE 集成"
"deepseek harness claude code","DeepSeek Harness 与 Claude Code 集成",tutorial,guide,deepseek,collected,search,"迁移/混用"
"deepseek harness web ui","DeepSeek Harness Web UI（dsh web）",tutorial,guide,deepseek,collected,search,"npx @deepseek-ai/dsh web"
"deepseek harness cordis","DeepSeek Harness Cordis 框架原理",informational,guide,deepseek,collected,search,"everything is a plugin"
"deepseek harness sandbox","DeepSeek Harness 沙箱机制",informational,guide,deepseek,collected,search,"sandboxes 插件"
"deepseek harness model","DeepSeek Harness 接入任意模型",tutorial,guide,deepseek,collected,search,"不绑自家模型，models 插件"
"deepseek harness benchmark","DeepSeek Harness 评测与性能",informational,guide,deepseek,collected,search,"minimal mode 跑 benchmark"
"deepseek harness code mode","DeepSeek Harness Code Mode",informational,guide,deepseek,collected,search,"TypeScript 编排多步操作"
"deepseek harness minimal mode","DeepSeek Harness Minimal Mode",informational,guide,deepseek,collected,search,"bash + str_replace_editor 双工具"
"deepseek harness tutorial","DeepSeek Harness 使用教程",tutorial,guide,deepseek,collected,search,"新手完整教程"
"deepseek harness quickstart","DeepSeek Harness 快速开始",tutorial,guide,deepseek,collected,search,"官方 quick start"
"deepseek harness error fix","DeepSeek Harness 常见错误修复",tutorial,guide,deepseek,collected,search,"社区踩坑修复"
"deepseek v4 pro","DeepSeek V4 Pro 正式版",informational,guide,deepseek,update,official,"现有页更新：8/13 GA（0813 build）"
"deepseek v4 pro release date","DeepSeek V4 Pro 正式版发布时间",informational,guide,deepseek,collected,search,"8/13/2026 GA"
"deepseek v4 pro pricing","DeepSeek V4 Pro 定价（涨价后）",informational,guide,deepseek,collected,search,"peak/off-peak 峰谷定价 8/16 生效"
"deepseek v4 pro api","DeepSeek V4 Pro API 接入",tutorial,guide,deepseek,collected,search,"model ID 不变 deepseek-v4-pro"
"deepseek v4 pro benchmarks","DeepSeek V4 Pro 评测基准",informational,guide,deepseek,collected,search,"0813 GA 评测"
"deepseek v4 pro vs flash","DeepSeek V4 Pro 对比 V4 Flash",comparison,guide,deepseek,collected,search,"1.6T vs 284B"
"deepseek v4 pro vs gpt-5.5","DeepSeek V4 Pro 对比 GPT-5.5",comparison,guide,deepseek,collected,search,"对标闭源旗舰"
"deepseek v4 pro openrouter","通过 OpenRouter 用 DeepSeek V4 Pro",tutorial,guide,deepseek,collected,search,"OpenRouter 接入"
"deepseek v4 pro 0813","DeepSeek V4 Pro 0813 版本说明",informational,guide,deepseek,collected,search,"0813 checkpoint = GA"
"deepseek v4 pro review","DeepSeek V4 Pro 评测",informational,guide,deepseek,collected,search,"独立评测"
"deepseek v4 pro cursor","在 Cursor 中使用 V4 Pro",tutorial,guide,deepseek,collected,search,"IDE 集成"
"deepseek v4 pro claude code","DeepSeek V4 Pro 接入 Claude Code",tutorial,guide,deepseek,collected,search,"Anthropic API 兼容"
"deepseek v4 pro opencode","DeepSeek V4 Pro 接入 OpenCode",tutorial,guide,deepseek,collected,search,"开源编码 agent"
"deepseek v4 pro responses api","DeepSeek V4 Pro Responses API",tutorial,guide,deepseek,collected,search,"原生 OpenAI Responses API 支持"
"deepseek v4 pro reasoning effort","DeepSeek V4 Pro 推理强度设置",tutorial,guide,deepseek,collected,search,"low/high/max 灵活推理"
"deepseek v4 pro surge pricing","DeepSeek V4 Pro 峰谷定价",informational,guide,deepseek,collected,search,"off-peak 低 50%"
"deepseek v4 pro context caching","DeepSeek V4 Pro 上下文缓存折扣",informational,guide,deepseek,collected,search,"缓存命中折扣"
"deepseek v4 pro model size","DeepSeek V4 Pro 参数规格",informational,guide,deepseek,collected,search,"1.6T/49B active/1M context"
"deepseek v4 pro harness","DeepSeek V4 Pro + Harness 组合",tutorial,guide,deepseek,collected,search,"官方 Harness 跑 V4 Pro"
"deepseek v4 pro agent","DeepSeek V4 Pro Agent 能力",informational,guide,deepseek,collected,search,"Major agent upgrades"
"deepseek v4 pro expert mode","DeepSeek V4 Pro Expert Mode",tutorial,guide,deepseek,collected,search,"app/web 的 Expert Mode"
"deepseek v4 pro vs deepseek r1","DeepSeek V4 Pro 对比 R1",comparison,guide,deepseek,collected,search,"推理模型对比"
"deepseek v4 pro openai responses","DeepSeek V4 Pro 与 OpenAI Responses 对比",comparison,guide,deepseek,collected,search,"Codex 一键接入"
