url,slug,title,category,published,wordcount,code_blocks,internal_links,external_links
https://chat-deep.ai/guide/how-to-install-deepseek-locally/,how-to-install-deepseek-locally,Install DeepSeek Locally with Ollama: Tested Guide,DeepSeek Guides,2026-03-29T14:44:51+00:00,2904,11,13,20
https://chat-deep.ai/guide/deepseek-english/,deepseek-english,DeepSeek English: Change Language & Fix Chinese Replies,DeepSeek Guides,2026-03-29T08:23:12+00:00,1655,0,2,18
https://chat-deep.ai/use-cases/deepseek-accessibility-workflows/,deepseek-accessibility-workflows,DeepSeek Accessibility Workflows: Alt Text & WCAG,DeepSeek Use Cases,2026-06-20T16:12:58+00:00,4906,20,2,32
https://chat-deep.ai/use-cases/deepseek-for-game-developers/,deepseek-for-game-developers,"DeepSeek for Game Developers: Dialogue, Lore & QA",DeepSeek Use Cases,2026-06-20T16:06:41+00:00,6147,24,6,13
https://chat-deep.ai/use-cases/deepseek-for-obsidian-pkm/,deepseek-for-obsidian-pkm,DeepSeek for Obsidian & Personal Knowledge Management,DeepSeek Use Cases,2026-06-17T15:16:46+00:00,4736,36,1,20
https://chat-deep.ai/use-cases/deepseek-for-excel-analysis/,deepseek-for-excel-analysis,"DeepSeek for Excel Analysis: Formulas, VBA & Insights",DeepSeek Use Cases,2026-06-02T07:14:56+00:00,5694,24,2,20
https://chat-deep.ai/use-cases/deepseek-for-data-cleaning-qa/,deepseek-for-data-cleaning-qa,DeepSeek for Data Cleaning & Quality Assurance,DeepSeek Use Cases,2026-06-04T00:51:52+00:00,5677,12,2,12
https://chat-deep.ai/use-cases/deepseek-for-sql-analysis/,deepseek-for-sql-analysis,"DeepSeek for SQL Analysis: Prompts, API & Safety",DeepSeek Use Cases,2026-06-02T04:59:31+00:00,5485,24,2,18
https://chat-deep.ai/use-cases/deepseek-for-market-research/,deepseek-for-market-research,DeepSeek for Market Research: Competitors & Customers,DeepSeek Use Cases,2026-05-26T22:38:08+00:00,6019,29,2,17
https://chat-deep.ai/use-cases/deepseek-for-productivity/,deepseek-for-productivity,DeepSeek for Productivity: Practical Workflows and Prompts,DeepSeek Use Cases,2026-05-19T15:47:22+00:00,8484,13,25,25
https://chat-deep.ai/use-cases/deepseek-for-entrepreneurs/,deepseek-for-entrepreneurs,"DeepSeek for Entrepreneurs: Plans, Research & Pitches",DeepSeek Use Cases,2026-05-19T21:28:52+00:00,5163,35,2,8
https://chat-deep.ai/use-cases/deepseek-real-estate-agents/,deepseek-real-estate-agents,DeepSeek for Real Estate Agents: Listings & Research,DeepSeek Use Cases,2026-05-18T14:24:52+00:00,5054,16,2,16
https://chat-deep.ai/use-cases/deepseek-for-freelancers/,deepseek-for-freelancers,DeepSeek for Freelancers: Proposals & Client Workflows,DeepSeek Use Cases,2026-05-19T13:09:17+00:00,5488,22,2,11
https://chat-deep.ai/use-cases/deepseek-for-students/,deepseek-for-students,"DeepSeek for Students: Study, Homework, Exams & Prompts",DeepSeek Use Cases,2026-05-18T12:02:40+00:00,6548,6,15,18
https://chat-deep.ai/use-cases/deepseek-ai-for-translation/,deepseek-ai-for-translation,How to Use DeepSeek AI for Translation - Chat-Deep.ai,DeepSeek Use Cases,2026-05-18T08:00:51+00:00,4224,17,2,20
https://chat-deep.ai/use-cases/deepseek-for-data-analysis/,deepseek-for-data-analysis,"DeepSeek for Data Analysis: CSV, Excel, SQL & Python",DeepSeek Use Cases,2026-05-12T04:06:54+00:00,5423,31,2,14
https://chat-deep.ai/solutions/deepseek-ai-agents/,deepseek-ai-agents,DeepSeek AI Agents: Tool Calling & Python Guide,DeepSeek Solutions,2026-05-18T20:18:48+00:00,2956,2,6,8
https://chat-deep.ai/news/deepseek-r2-tracker-release-date/,deepseek-r2-tracker-release-date,DeepSeek R2 Release Tracker: Official Status & Rumors,DeepSeek News,2026-05-15T08:35:48+00:00,1701,0,17,11
https://chat-deep.ai/guide/write-better-emails-in-spanish-with-deepseek-ai/,write-better-emails-in-spanish-with-deepseek-ai,Write Better Spanish Emails With DeepSeek AI,DeepSeek Guides,2026-05-26T15:20:32+00:00,3442,22,1,9
https://chat-deep.ai/guide/run-deepseek-in-lm-studio/,run-deepseek-in-lm-studio,Run DeepSeek in LM Studio: Models & Local API,DeepSeek Guides,2026-03-10T04:53:38+00:00,3256,7,12,6
https://chat-deep.ai/guide/how-to-use-deepseek-chat/,how-to-use-deepseek-chat,"How to Use DeepSeek Chat: Web, App, Prompts & API",DeepSeek Guides,2026-05-12T10:15:38+00:00,3867,1,0,13
https://chat-deep.ai/guide/google-sheets/,google-sheets,DeepSeek for Google Sheets: Apps Script & AI Formulas,DeepSeek Guides,2026-05-15T20:31:06+00:00,3846,21,0,20
https://chat-deep.ai/guide/deepseek-write-better-english-emails/,deepseek-write-better-english-emails,Write Better English Emails With DeepSeek AI,DeepSeek Guides,2026-05-15T13:51:44+00:00,3534,35,1,9
https://chat-deep.ai/guide/deepseek-gguf-vs-safetensors/,deepseek-gguf-vs-safetensors,DeepSeek GGUF vs Safetensors: Which Format to Use?,DeepSeek Guides,2026-05-07T05:08:41+00:00,3368,2,2,18
https://chat-deep.ai/guide/deepseek-ai-facts/,deepseek-ai-facts,DeepSeek Facts: Verified Answers & Release Timeline,DeepSeek Guides,2026-04-06T13:51:14+00:00,2659,1,5,24
https://chat-deep.ai/solutions/deepseek-for-pharma-biotech/,deepseek-for-pharma-biotech,"DeepSeek for Pharma & Biotech: Uses, Risks & Controls",DeepSeek Solutions,2026-06-13T12:13:12+00:00,3698,0,1,18
https://chat-deep.ai/solutions/deepseek-for-legal-teams/,deepseek-for-legal-teams,"DeepSeek for Legal Teams: Uses, Risks & Governance",DeepSeek Solutions,2026-06-01T14:13:38+00:00,4077,0,1,21
